ID,Business,Year_Of_Commitment ,Guaranteed_Approved _Loan,Borrower_Name ,Low_Documentation_Loan,Demography,ChargedOff_Amount ,Count_Employees,Classification_Code ,Loan_Approved_Gross,Gross_Amount_Disbursed  ,Loan_Term,Code_Franchise,Name_Of_Bank,Revolving_Credit_Line,Target
3690,Existing,1991,Rs.17962880.0,"JEREMIAH EDWARDS FUNERAL HOME,",No,Undefined,Rs.0.0,4,0,Rs.21132800.0,Rs.21132800.0,189,1,ICICI Bank Ltd.,No,0
3691,New,1992,Rs.5084064.0,"J & H ASSOCIATES, INC.",No,Undefined,Rs.4288414.08,2,0,Rs.5648960.0,Rs.5648960.0,76,1,Bangiya Gramin Vikash Bank,No,1
3692,Existing,2006,Rs.4064000.0,DIGIS LLC DBA DIGIS NETWORK,No,Urban,Rs.0.0,14,518111,Rs.8128000.0,Rs.18694400.0,126,0,Andhra Pradesh Grameena Vikas Bank,Yes,0
3693,Existing,2008,Rs.1016000.0,"Rama-Vision, Inc.",No,Urban,Rs.0.0,2,424990,Rs.2032000.0,Rs.2032000.0,90,0,Karnataka Vikas Gramin Bank,No,0
3694,New,2008,Rs.10972800.0,Huntington Learning Center,No,Urban,Rs.9137904.0,14,611691,Rs.14630400.0,Rs.14630400.0,75,0,Baroda Gujarat Gramin Bank,No,1
3695,Existing,2005,Rs.35173920.0,WILLOWBROOK ANIMAL HOSPITAL,No,Urban,Rs.0.0,16,541940,Rs.46898560.0,Rs.46898560.0,180,1,ESAF Small Finance Bank Ltd.,0,0
3696,Existing,2007,Rs.2418080.0,M&M Leather Cleaners,No,Urban,Rs.2567553.92,9,812320,Rs.2844800.0,Rs.2844800.0,99,0,Tamilnad Mercantile Bank Ltd.,No,1
3697,Existing,2010,Rs.518160.0,"WINDSTONE WEB WORKS, INC",No,Urban,Rs.586435.2,2,541613,Rs.609600.0,Rs.609600.0,162,0,FINO Payments Bank Ltd,No,1
3698,New,2007,Rs.2032000.0,"KAMMERMAN ASSOCIATES, LLP",No,Urban,Rs.0.0,4,541110,Rs.4064000.0,Rs.8974531.2,126,0,Dhanlaxmi Bank Ltd.,Yes,0
3699,Existing,2008,Rs.1828800.0,ED WIN ASSOC IN,No,Urban,Rs.3540394.24,2,522220,Rs.3657600.0,Rs.6449486.72,76,1,Dhanlaxmi Bank Ltd.,Yes,1
3700,Existing,1994,Rs.22530816.0,HERITAGE INN OF BOWLING GREEN,No,Undefined,Rs.0.0,14,0,Rs.35763200.0,Rs.35763200.0,270,1,Dhanlaxmi Bank Ltd.,No,0
3701,Existing,2007,Rs.17312640.0,"Energy Works of Auburn, Inc.",No,Urban,Rs.0.0,1,621399,Rs.23083520.0,Rs.23083520.0,454,0,Mizoram Rural Bank,No,0
3702,New,1996,Rs.4551680.0,"HANS AUTOMOTIVE, INC.",Yes,Undefined,Rs.0.0,2,0,Rs.5689600.0,Rs.5689600.0,126,1,Kerala Gramin Bank,No,0
3703,Existing,1993,Rs.52019200.0,KOJO,No,Undefined,Rs.0.0,223,0,Rs.65024000.0,Rs.65024000.0,180,1,Karur Vysya Bank Ltd.,No,0
3704,Existing,2006,Rs.2032000.0,"S & S Auto Service, Inc.",No,Urban,Rs.1801489.92,3,811112,Rs.4064000.0,Rs.6467530.88,6,0,Dhanlaxmi Bank Ltd.,Yes,1
3705,Existing,2005,Rs.812800.0,"SABAR GRAPHICS, LLC DBA MINUTE",No,Urban,Rs.0.0,4,323113,Rs.1625600.0,Rs.1625600.0,126,1,City Union Bank Ltd.,No,0
3706,New,1993,Rs.10607040.0,"DENNIS GALE, DDS",No,Undefined,Rs.0.0,2,621210,Rs.11785600.0,Rs.11785600.0,180,1,Jio Payments Bank Ltd,No,0
3707,Existing,2006,Rs.609600.0,WAYNE K. ANDERSON DBA EARTH FI,No,Urban,Rs.0.0,2,562920,Rs.1219200.0,Rs.4123253.12,126,0,Subhadra Local Bank Ltd,Yes,0
3708,New,2003,Rs.1727200.0,FAMILY CORRECTIVE CHIROPRACTIC,Yes,Rural,Rs.0.0,4,621310,Rs.2032000.0,Rs.2032000.0,54,1,Karnataka Vikas Gramin Bank,0,0
3709,New,1997,Rs.16459200.0,ALPHAGRAPHICS PRINTSHOP,No,Undefined,Rs.14116629.120000001,4,0,Rs.21945600.0,Rs.21945600.0,180,3512,ESAF Small Finance Bank Ltd.,0,1
3710,Existing,2004,Rs.406400.0,PROFESSIONAL CAREER SEARCH INC,No,Urban,Rs.0.0,1,541612,Rs.812800.0,Rs.947155.84,126,1,Dhanlaxmi Bank Ltd.,Yes,0
3711,Existing,1999,Rs.48036480.0,ENERQUEST SYSTEMS LLC,No,Undefined,Rs.0.0,6,0,Rs.64048640.0,Rs.64048640.0,68,1,IDBI Bank Limited,0,0
3712,Existing,1998,Rs.9448800.0,ANNE E BOWMAN DDS,No,Undefined,Rs.0.0,4,621210,Rs.12598400.0,Rs.12598400.0,270,1,Karur Vysya Bank Ltd.,0,0
3713,Existing,1991,Rs.8778240.0,MAD'S AUTO REPAIR,No,Undefined,Rs.0.0,1,811111,Rs.9753600.0,Rs.9753600.0,450,1,Federal Bank Ltd.,No,0
3714,Existing,2005,Rs.2438400.0,JOHN G. CVINAR DBA SOUND SOLUT,No,Urban,Rs.0.0,3,451120,Rs.4876800.0,Rs.4876800.0,126,0,City Union Bank Ltd.,No,0
3715,New,2006,Rs.2032000.0,Medicar,No,Urban,Rs.0.0,3,485991,Rs.4064000.0,Rs.4064000.0,90,0,Karur Vysya Bank Ltd.,No,0
3716,Existing,2009,Rs.95097600.0,"MERRITT CONTRACTING, INC.",No,Urban,Rs.67766062.08,40,237310,Rs.105664000.0,Rs.105664000.0,166,0,Madhya Pradesh Gramin Bank,No,1
3717,Existing,2000,Rs.1625600.0,TALBERT BUILDING & REMODELING,Yes,Rural,Rs.1276014.72,2,0,Rs.2032000.0,Rs.2032000.0,70,1,Madhyanchal Gramin Bank,0,1
3718,New,2004,Rs.1828800.0,P & E PAINTING,No,Rural,Rs.0.0,3,235210,Rs.3657600.0,Rs.5056916.48,28,1,Maharashtra Gramin Bank,Yes,0
3719,New,2005,Rs.203200.0,THE SOFTWARE ALLIANCE LLC,No,Urban,Rs.0.0,3,514199,Rs.406400.0,Rs.406400.0,126,1,Ujjivan Small Finance Bank Ltd.,0,0
3720,Existing,1998,Rs.9144000.0,RICHARD G ELLIOTT DDS,No,Undefined,Rs.0.0,4,0,Rs.12192000.0,Rs.12192000.0,126,1,IDBI Bank Limited,0,0
3721,Existing,2004,Rs.1016000.0,HELTON OVERHEAD DOOR SALES INC,No,Rural,Rs.0.0,3,444190,Rs.2032000.0,Rs.2032000.0,126,1,Subhadra Local Bank Ltd,0,0
3722,Existing,2007,Rs.1016000.0,"Nonno's Pizzeria & Restaurant,",No,Urban,Rs.1508719.36,4,722211,Rs.2032000.0,Rs.5091135.36,57,0,Dhanlaxmi Bank Ltd.,Yes,1
3723,Existing,2000,Rs.60960000.0,WESTCODE INCORPORATED,No,Urban,Rs.0.0,90,336510,Rs.81280000.0,Rs.81280000.0,360,1,Shinhan Bank,No,0
3724,Existing,2007,Rs.1625600.0,ONE STOP MARKET & DELI,No,Urban,Rs.3144804.48,1,722320,Rs.3251200.0,Rs.6007973.76,99,0,Karur Vysya Bank Ltd.,Yes,1
3725,Existing,2004,Rs.2032000.0,CHICOS COLLISION REPAIR,No,Urban,Rs.0.0,5,811121,Rs.4064000.0,Rs.4064000.0,126,1,ICICI Bank Ltd.,Yes,0
3726,New,1998,Rs.2804160.0,"BLAUERS & ASSOCIATES, INC.",No,Undefined,Rs.0.0,1,0,Rs.3738880.0,Rs.3738880.0,126,1,Doha Bank,No,0
3727,Existing,2011,Rs.10363200.0,"Little Bird, Inc.",No,Urban,Rs.0.0,4,722211,Rs.12192000.0,Rs.12192000.0,144,0,Manipur Rural Bank,No,0
3728,Existing,2005,Rs.4064000.0,"Summit Handcrafted Log Homes,",No,Urban,Rs.4852090.88,2,236115,Rs.8128000.0,Rs.30159594.240000002,32,0,Andhra Pradesh Grameena Vikas Bank,Yes,1
3729,Existing,2006,Rs.24384000.0,Rochester Portable Specialties,No,Rural,Rs.0.0,3,562998,Rs.32512000.0,Rs.32512000.0,126,0,Fincare Small Finance Bank Ltd.,No,0
3730,Existing,2006,Rs.2032000.0,EASY TOURS OF INDIA,No,Urban,Rs.0.0,4,561520,Rs.4064000.0,Rs.7859776.0,126,1,Saurashtra Gramin Bank,Yes,0
3731,Existing,2008,Rs.1016000.0,"Olivetti, Inc.",No,Urban,Rs.1839935.36,4,339950,Rs.2032000.0,Rs.2032000.0,57,74750,Credit Agricole Corporate & Investment Bank #,No,1
3732,Existing,2012,Rs.2032000.0,"Agro Minerals Fertilizer, Inc.",No,Rural,Rs.0.0,3,212393,Rs.4064000.0,Rs.8534074.88,126,0,Bank of Baroda,Yes,0
3733,Existing,2000,Rs.15240000.0,BIANCO DELICATESSEN,No,Urban,Rs.0.0,14,0,Rs.20320000.0,Rs.20320000.0,180,1,City Union Bank Ltd.,No,0
3734,New,1990,Rs.1421831.04,CHEZ BE'BE',No,Undefined,Rs.0.0,1,448130,Rs.1579839.36,Rs.1579839.36,126,1,India Post Payments Bank Ltd,No,0
3735,Existing,2005,Rs.528320.0,PREFERRED CHIROPRACTIV,No,Urban,Rs.968532.48,3,621310,Rs.1056640.0,Rs.1742074.24,75,1,Saurashtra Gramin Bank,Yes,1
3736,Existing,2004,Rs.203200.0,RENAE'S HAIR STUDIO,No,Urban,Rs.0.0,1,812112,Rs.406400.0,Rs.1095166.72,126,1,City Union Bank Ltd.,Yes,0
3737,Existing,1996,Rs.28651200.0,"SHERMAN TV AND APPLIANCE, INC.",No,Undefined,Rs.0.0,6,443111,Rs.38201600.0,Rs.38201600.0,450,1,Shivalik Small Finance Bank Ltd,No,0
3738,Existing,1993,Rs.16190976.0,"MARGIE'S PLACE, INC.",No,Undefined,Rs.0.0,2,0,Rs.19507200.0,Rs.19507200.0,270,1,Karnataka Gramin Bank,No,0
3739,New,1996,Rs.6096000.0,"NUTRILICIOUS FOODS, INC.",No,Undefined,Rs.0.0,11,0,Rs.8128000.0,Rs.8128000.0,90,1,Cooperatieve Rabobank U.A.,No,0
3740,Existing,2005,Rs.2032000.0,A & D PAINT SUPPLY,No,Urban,Rs.1120200.96,2,424950,Rs.4064000.0,Rs.8379642.88,9,1,Au Small Finance Bank Ltd.,Yes,1
3741,Existing,1999,Rs.6502400.0,TRIUMPH DRILLING TOOLS,Yes,Urban,Rs.0.0,12,0,Rs.8128000.0,Rs.8128000.0,126,1,Equitas Small Finance Bank Ltd,0,0
3742,New,2000,Rs.5852160.0,PAGANO'S WEST,Yes,Urban,Rs.0.0,6,0,Rs.7315200.0,Rs.7152640.0,135,1,Madhyanchal Gramin Bank,0,0
3743,New,2006,Rs.6908800.0,VIZARD'S,No,Undefined,Rs.0.0,2,722211,Rs.8128000.0,Rs.8128000.0,30,1,Madhyanchal Gramin Bank,Yes,0
3744,Existing,2002,Rs.4064000.0,B & M CLAMBAKE CO INC,No,Urban,Rs.0.0,5,722320,Rs.8128000.0,Rs.11694485.120000001,126,1,City Union Bank Ltd.,Yes,0
3745,Existing,2007,Rs.1036320.0,Young's Carpet Cleaning,No,Urban,Rs.1078423.04,7,561740,Rs.1219200.0,Rs.1219200.0,93,0,Tamilnad Mercantile Bank Ltd.,No,1
3746,Existing,2006,Rs.2032000.0,"Village Floors,Inc.",No,Urban,Rs.3942080.0,17,442210,Rs.4064000.0,Rs.3942080.0,80,0,ICICI Bank Ltd.,T,1
3747,Existing,2008,Rs.2032000.0,Ballard Renovations LLC,No,Urban,Rs.0.0,2,236115,Rs.4064000.0,Rs.6447617.28,126,0,Karur Vysya Bank Ltd.,Yes,0
3748,New,2003,Rs.1117600.0,DORE'S CAFE & MARKET INC,No,Urban,Rs.0.0,1,722211,Rs.2235200.0,Rs.2235200.0,90,1,HDFC Bank Ltd,0,0
3749,New,1995,Rs.30480000.0,"FJ GRAZIANO & ASSOC., INC.",No,Undefined,Rs.0.0,2,0,Rs.40640000.0,Rs.63203490.56,90,1,Baroda Rajasthan Kshetriya Gramin Bank,Yes,0
3750,Existing,1978,Rs.19751040.0,MAGIC MARKER INDUSTRIAL,No,Undefined,Rs.203768.96,27,0,Rs.21945600.0,Rs.21945600.0,126,0,ICICI Bank Ltd.,No,1
3751,New,1988,Rs.11192256.0,DR. JAMES L. RODGERS,No,Undefined,Rs.5155184.0,2,621210,Rs.12435840.0,Rs.12435840.0,75,0,Meghalaya Rural Bank,No,1
3752,New,1989,Rs.5181600.0,AMERICAN SPEEDY PRINTING CTR.,No,Undefined,Rs.0.0,3,0,Rs.6908800.0,Rs.6908800.0,176,1,IDBI Bank Limited,No,0
3753,Existing,2006,Rs.28407360.0,JESUS AND SIMONA DURAN AS AN E,No,Urban,Rs.0.0,7,238140,Rs.37876480.0,Rs.37876480.0,450,1,Mizoram Rural Bank,0,0
3754,Existing,2008,Rs.605536.0,"AGS Technology, Inc.",No,Urban,Rs.0.0,32,333999,Rs.1211072.0,Rs.1211072.0,126,0,Dhanlaxmi Bank Ltd.,No,0
3755,Existing,1999,Rs.1016000.0,USED CAR CITY INC,No,Undefined,Rs.0.0,2,441120,Rs.2032000.0,Rs.2567635.2,36,1,Aryavart Bank,Yes,0
3756,Existing,1998,Rs.3633216.0,DIXIE DINER,No,Undefined,Rs.0.0,14,0,Rs.7266432.0,Rs.7266432.0,126,1,Dhanlaxmi Bank Ltd.,0,0
3757,Existing,2001,Rs.21336000.0,STANLEY E & CENOEL ANDERSON AN,No,Urban,Rs.0.0,6,531120,Rs.28448000.0,Rs.28448000.0,450,1,Assam Gramin Vikash Bank,0,0
3758,Existing,2004,Rs.284480.0,I & R DISTRIBUTION,No,Urban,Rs.518322.56,1,722310,Rs.568960.0,Rs.568960.0,92,1,ICICI Bank Ltd.,Yes,1
3759,New,2002,Rs.406400.0,GOLDEN WOK EXPRESS,No,Urban,Rs.0.0,2,722110,Rs.812800.0,Rs.812800.0,126,1,ICICI Bank Ltd.,Yes,0
3760,Existing,2008,Rs.87782400.0,"H & H SPECIALTIES, INC.",No,Urban,Rs.0.0,30,332999,Rs.117043200.0,Rs.117043200.0,126,0,Prathama U.P. Gramin Bank,No,0
3761,Existing,1997,Rs.7477760.0,"GOOD JUNK PROPERTIES, INC.",No,Undefined,Rs.0.0,9,0,Rs.7477760.0,Rs.7477760.0,360,1,Nagaland Rural Bank,No,0
3762,New,1985,Rs.8778240.0,AMERICAN DISPLAY & PACKAGING I,No,Undefined,Rs.26822.4,4,0,Rs.9753600.0,Rs.9753600.0,8,0,Odisha Gramya Bank,No,1
3763,Existing,1995,Rs.3657600.0,D/B/A SANDY'S GROCERY,Yes,Undefined,Rs.0.0,2,0,Rs.4064000.0,Rs.4064000.0,126,1,Karnataka Bank Ltd.,No,0
3764,Existing,2003,Rs.23481792.0,RICHARD D MOHRLOCK,No,Urban,Rs.14286341.76,2,621210,Rs.31309056.0,Rs.31309056.0,338,1,FirstRand Bank Ltd.,0,1
3765,Existing,2006,Rs.3048000.0,"Raf Till, Inc.",No,Urban,Rs.5215900.16,8,453998,Rs.6096000.0,Rs.6096000.0,86,0,ICICI Bank Ltd.,No,1
3766,Existing,1999,Rs.7784592.0,MOOSE'S,No,Urban,Rs.5703905.28,4,0,Rs.10379456.0,Rs.10379456.0,58,1,Uttarbanga Kshetriya Gramin Bank,0,1
3767,Existing,2005,Rs.30480000.0,HART & COMPANY LLP,No,Urban,Rs.0.0,7,541211,Rs.40640000.0,Rs.40640000.0,126,1,Saurashtra Gramin Bank,0,0
3768,New,2005,Rs.1219200.0,REVO ASSOCIATTES LLC.DBA UP IN,No,Urban,Rs.898225.28,2,453991,Rs.2438400.0,Rs.2438400.0,57,1,City Union Bank Ltd.,No,0
3769,Existing,1983,Rs.32089344.0,SMITH AGRICLTRL SERV OF MAXWEL,No,Undefined,Rs.15978591.36,14,0,Rs.38201600.0,Rs.38201600.0,90,0,Unity Small Finance Bank Ltd,No,1
3770,Existing,1998,Rs.28041600.0,"49ER FEED, FARM & PET SUPPLY",No,Undefined,Rs.2081662.08,7,0,Rs.37388800.0,Rs.37388800.0,308,1,Karnataka Vikas Gramin Bank,0,1
3771,Existing,2002,Rs.1036320.0,"COCCO'S CAFE AND GELATO, INC",Yes,Urban,Rs.0.0,4,722211,Rs.1219200.0,Rs.1219200.0,126,1,Paschim Banga Gramin Bank,0,0
3772,Existing,2005,Rs.812800.0,"Continuum Technologies, Inc.",No,Urban,Rs.0.0,2,541511,Rs.1625600.0,Rs.1625600.0,126,1,ICICI Bank Ltd.,Yes,0
3773,New,2001,Rs.8503920.0,P C H THREAD SEWING MACHINE &,No,Urban,Rs.0.0,2,421830,Rs.11338560.0,Rs.11338560.0,450,1,Nainital bank Ltd.,0,0
3774,New,1995,Rs.4389120.0,FANTASTIC SAMS FAMILY HAIR CAR,Yes,Undefined,Rs.0.0,1,0,Rs.4876800.0,Rs.4876800.0,126,19755,Unity Small Finance Bank Ltd,No,0
3775,Existing,1996,Rs.1950720.0,RED LODGING,Yes,Undefined,Rs.0.0,5,0,Rs.2438400.0,Rs.2438400.0,126,1,IDBI Bank Limited,No,0
3776,New,2007,Rs.1036320.0,"Suesbiz, Inc.",No,Urban,Rs.821009.28,14,722211,Rs.1219200.0,Rs.1219200.0,68,0,Tamilnad Mercantile Bank Ltd.,No,1
3777,Existing,2005,Rs.2032000.0,"J.M. PHILLIPS, INC.",No,Urban,Rs.2087270.4000000001,4,423990,Rs.4064000.0,Rs.4064000.0,70,1,Subhadra Local Bank Ltd,No,1
3778,Existing,2002,Rs.23774400.0,LANDMARK BAGELS LLC,No,Urban,Rs.28556833.92,1,311811,Rs.31699200.0,Rs.31699200.0,150,1,IDBI Bank Limited,0,1
3779,Existing,2007,Rs.345440.0,Wright Brothers Lawns,No,Urban,Rs.338124.8,3,561730,Rs.406400.0,Rs.406400.0,87,0,Tamilnad Mercantile Bank Ltd.,No,1
3780,Existing,2008,Rs.5513222.4,CHUCK & JOE ENTERPRISES. LLC.,No,Urban,Rs.5016113.92,3,238390,Rs.6486144.0,Rs.6486144.0,180,1,Bandhan Bank Ltd.,0,1
3781,Existing,1993,Rs.44655232.0,BANKLINE HOLDING INC,No,Undefined,Rs.0.0,63,514210,Rs.54457600.0,Rs.54457600.0,126,1,Prathama U.P. Gramin Bank,No,0
3782,Existing,2007,Rs.2032000.0,BROKEN SWITCH STUDIO INC,No,Urban,Rs.4064000.0,1,541511,Rs.4064000.0,Rs.4064000.0,8,0,CSB Bank Limited,Yes,1
3783,Existing,1992,Rs.2438318.72,"SUNWEST CELLULAR, INC.",No,Undefined,Rs.1765076.48,2,0,Rs.2844800.0,Rs.2844800.0,80,1,Qatar National Bank SAQ,No,1
3784,Existing,2006,Rs.1422400.0,A'Najee Tek,No,Urban,Rs.1670710.4000000001,1,561990,Rs.2844800.0,Rs.2844800.0,102,0,ICICI Bank Ltd.,T,1
3785,New,2001,Rs.7461504.0,FOUR J AUTOMOTIVE,Yes,Urban,Rs.0.0,3,441310,Rs.8778240.0,Rs.8778240.0,126,1,Airtel Payments Bank Ltd,0,0
3786,Existing,2005,Rs.34218880.0,3D PRINTING INC,No,Urban,Rs.0.0,14,323114,Rs.34218880.0,Rs.34218880.0,180,1,Citibank N.A.,0,0
3787,Existing,2004,Rs.2438400.0,GOTINK 4 U,No,Urban,Rs.0.0,1,453210,Rs.4876800.0,Rs.7380142.72,138,1,City Union Bank Ltd.,T,0
3788,Existing,2004,Rs.609600.0,SMITH BROS CARPET INC,No,Urban,Rs.589930.24,6,442210,Rs.1219200.0,Rs.2379309.44,126,1,ICICI Bank Ltd.,No,1
3789,Existing,1996,Rs.6502400.0,GNJ INTERIOR SPECIALTIES,No,Undefined,Rs.7217664.0,1,337110,Rs.8128000.0,Rs.8000878.08,80,1,IndusInd Bank Ltd,No,1
3790,Existing,2002,Rs.3048000.0,LEADING SOURCE MARKETING INC,No,Urban,Rs.0.0,1,422490,Rs.6096000.0,Rs.6096000.0,45,1,Uttarbanga Kshetriya Gramin Bank,Yes,0
3791,Existing,1990,Rs.1097280.0,BEAUTIFUL BEGINNINGS,No,Undefined,Rs.0.0,4,448120,Rs.1219200.0,Rs.1219200.0,10,1,Canara Bank,No,0
3792,Existing,2012,Rs.1381760.0,"Micah of Keene, Inc.",No,Urban,Rs.0.0,0,722211,Rs.1625600.0,Rs.1625600.0,54,0,Puduvai Bharathiar Grama Bank,No,0
3793,Existing,2002,Rs.1219200.0,QUALITY OUTBOARDS INC,No,Urban,Rs.2419868.16,3,561790,Rs.2438400.0,Rs.2438400.0,72,1,ICICI Bank Ltd.,Yes,1
3794,Existing,1992,Rs.19117056.0,"CARMEN MAUREEN GOMEZ, M.D.",No,Undefined,Rs.0.0,1,0,Rs.23896320.0,Rs.23896320.0,288,1,Punjab Gramin Bank,No,0
3795,Existing,2001,Rs.4064000.0,KIRAN CONSULTING GROUP INC,No,Urban,Rs.0.0,12,561499,Rs.8128000.0,Rs.8128000.0,126,1,IDBI Bank Limited,0,0
3796,New,2003,Rs.16367760.0,BEEF O'BRADY'S,No,Urban,Rs.6008217.6,1,722110,Rs.21823680.0,Rs.21823680.0,150,9450,Sumitomo Mitsui Banking Corporation,0,1
3797,Existing,2000,Rs.12143232.0,ASSIST 2 SELL DISCOUNT REALTY,No,Urban,Rs.0.0,1,531210,Rs.16190976.0,Rs.16190976.0,450,6140,Jana Small Finance Bank Ltd,0,0
3798,New,1990,Rs.60943744.0,TROTTER'S BBQ RESTAURANT,No,Undefined,Rs.34346652.160000004,90,0,Rs.93472000.0,Rs.93472000.0,406,83910,IDBI Bank Limited,No,1
3799,Existing,2003,Rs.15240000.0,HILAND CORPORATION,No,Urban,Rs.17648814.080000002,46,311991,Rs.20320000.0,Rs.20320000.0,142,1,CSB Bank Limited,No,1
3800,Existing,2010,Rs.4064000.0,Pellheat Inc.,No,Urban,Rs.0.0,0,321999,Rs.8128000.0,Rs.20741436.8,126,0,Paytm Payments Bank Ltd,Yes,0
3801,Existing,2011,Rs.219456000.0,"GARVIN-MOSER, L.L.C.",No,Rural,Rs.0.0,14,623110,Rs.243840000.0,Rs.243840000.0,450,0,Rajasthan Marudhara Gramin Bank,No,0
3802,Existing,2002,Rs.1422400.0,BEYS MANAGEMENT INC,No,Urban,Rs.2365410.56,2,812990,Rs.2844800.0,Rs.6405758.08,10,1,City Union Bank Ltd.,Yes,1
3803,Existing,2005,Rs.4064000.0,"Stamper & Barnes, LLC",No,Urban,Rs.0.0,4,444220,Rs.8128000.0,Rs.9246656.64,90,1,CSB Bank Limited,Yes,0
3804,New,2002,Rs.3048000.0,KNOWLEDGESTAFF LLC,No,Urban,Rs.0.0,1,561310,Rs.6096000.0,Rs.6096000.0,90,1,ICICI Bank Ltd.,0,0
3805,Existing,1984,Rs.18288000.0,"JOSEPH HAMILTON FURRIERS, INC.",No,Undefined,Rs.14441992.96,2,0,Rs.20320000.0,Rs.20320000.0,46,0,AB Bank Ltd.,No,1
3806,Existing,2000,Rs.22311360.0,"C & W SWISS, INC.",No,Rural,Rs.0.0,3,0,Rs.29748480.0,Rs.29748480.0,180,1,Dhanlaxmi Bank Ltd.,No,0
3807,Existing,2006,Rs.12192000.0,"INDUSTRIAL EQUIPMENT SERVICE,",No,Undefined,Rs.0.0,11,811310,Rs.16256000.0,Rs.45266213.76,90,1,Saptagiri Grameena Bank,Yes,0
3808,Existing,1999,Rs.43809920.0,KIRKLAND MANAGEMENT LLC,No,Rural,Rs.0.0,29,0,Rs.43809920.0,Rs.43809920.0,360,1,Australia and New Zealand Banking Group Ltd.,No,0
3809,Existing,2003,Rs.4145280.0,WEST OF PHILLY,No,Urban,Rs.0.0,4,722211,Rs.4876800.0,Rs.4876800.0,99,1,Sarva Haryana Gramin Bank,No,0
3810,Existing,1993,Rs.24735373.44,SCHMITZ READY MIX INC,No,Undefined,Rs.0.0,41,327320,Rs.29342080.0,Rs.29342080.0,180,1,Jammu & Kashmir Bank Ltd.,No,0
3811,Existing,2007,Rs.12192000.0,"TriplePlay Products, LLC",No,Urban,Rs.0.0,5,424990,Rs.16256000.0,Rs.16256000.0,126,0,Saurashtra Gramin Bank,No,0
3812,New,2007,Rs.203200.0,Branden K. Lee dba BKL Plaster,No,Urban,Rs.406400.0,1,453998,Rs.406400.0,Rs.568960.0,94,0,ICICI Bank Ltd.,No,1
3813,Existing,1988,Rs.32862072.96,DIERZEN WELDING & MACHINE CO.,No,Undefined,Rs.43604931.84,21,0,Rs.40371125.76,Rs.40371125.76,278,0,Jammu & Kashmir Bank Ltd.,No,1
3814,Existing,1996,Rs.18613120.0,"DELTA Q, INC.",No,Undefined,Rs.0.0,10,421830,Rs.18613120.0,Rs.18613120.0,360,1,ICICI Bank Ltd.,No,0
3815,New,2006,Rs.87619840.0,SUNSET INNS OF AMERICA,No,Rural,Rs.0.0,3,721110,Rs.87619840.0,Rs.87619840.0,360,1,Aryavart Bank,0,0
3816,Existing,1993,Rs.13980160.0,CHARLTON A. WOOSLEY,No,Undefined,Rs.0.0,3,621310,Rs.17475200.0,Rs.17475200.0,198,1,ICICI Bank Ltd.,No,0
3817,Existing,1994,Rs.19588480.0,MURRAY'S CONVENIENCE STORE # 4,No,Undefined,Rs.0.0,21,0,Rs.19588480.0,Rs.19588480.0,360,1,Kotak Mahindra Bank Ltd,No,0
3818,Existing,1999,Rs.60960000.0,"HIGHLAND PARTNERSHIP, INC.",No,Urban,Rs.0.0,24,0,Rs.60960000.0,Rs.57546240.0,360,1,Central Bank of India,No,0
3819,New,2012,Rs.2438400.0,"Boomers Family Fun Center, LLC",No,Urban,Rs.4444065.28,3,713120,Rs.4876800.0,Rs.4876800.0,64,0,Tamil Nadu Grama Bank,No,1
3820,Existing,2005,Rs.5527040.0,ARBUCKLE COFFEE ROASTERS,Yes,Urban,Rs.0.0,9,445299,Rs.6502400.0,Rs.6502400.0,90,1,Tamil Nadu Grama Bank,0,0
3821,New,2005,Rs.406400.0,TFS NEW YORK CORP,No,Urban,Rs.0.0,4,446120,Rs.812800.0,Rs.5655624.96,126,1,Jio Payments Bank Ltd,Yes,0
3822,New,1985,Rs.8290560.0,RGJ MGMT & RJB PROPERTIES INC,No,Undefined,Rs.36576.0,118,0,Rs.12192000.0,Rs.12192000.0,33,88355,Karur Vysya Bank Ltd.,No,1
3823,Existing,2006,Rs.2032000.0,"URBAN HARDWOOD PRODUCTS, INC.",No,Rural,Rs.0.0,5,321114,Rs.4064000.0,Rs.6096000.0,126,0,Andhra Pradesh Grameena Vikas Bank,Yes,0
3824,Existing,2002,Rs.2887878.4,"QUIC-KEE, INC.",Yes,Urban,Rs.0.0,3,332999,Rs.3397504.0,Rs.3397504.0,126,1,Karnataka Vikas Gramin Bank,0,0
3825,Existing,1995,Rs.3247136.0,UNI PAR LIGHTING CORP,No,Undefined,Rs.0.0,4,335122,Rs.3820160.0,Rs.3820160.0,148,1,Telangana Grameena Bank,No,0
3826,New,2004,Rs.406400.0,57TH STREET,No,Urban,Rs.0.0,1,541820,Rs.812800.0,Rs.812800.0,72,1,CSB Bank Limited,0,0
3827,Existing,1995,Rs.30480000.0,MR. MANATEE'S RESTAURANT,No,Undefined,Rs.0.0,63,0,Rs.40640000.0,Rs.40640000.0,324,1,Karnataka Vikas Gramin Bank,,0
3828,Existing,2001,Rs.9672320.0,99 CENT CITY AND PLUS,Yes,Rural,Rs.1831644.8,2,452990,Rs.11379200.0,Rs.11379200.0,194,1,Tripura Gramin Bank,0,1
3829,New,1993,Rs.4389120.0,D&J INVESTMENT CORP.,No,Undefined,Rs.0.0,2,0,Rs.4876800.0,Rs.4876800.0,180,78760,City Union Bank Ltd.,No,0
